ID ÚNICO - RESPONDENTE,MÊS PESQUISA
RJALM3620,SIM - 07/2024
MGJOA1753,SIM - 07/2024
RJGIU2158,SIM - 07/2024
CEJOS3524,SIM - 07/2024
RJJOA7554,SIM - 07/2024
ROGIU1453,SIM - 07/2024
RJMAU3385,SIM - 07/2024
MAANA8537,SIM - 07/2024
CELUC3939,SIM - 07/2024
GOISA5213,SIM - 07/2024
RJRAM9357,SIM - 07/2024
CEADA6255,SIM - 07/2024
GOWAL2999,SIM - 07/2024
MGBIA3861,SIM - 07/2024
MGKAR6311,SIM - 07/2024
MGCLE0774,SIM - 07/2024
RJMAR1549,SIM - 07/2024
RJCLA6799,SIM - 07/2024
RJSER1167,SIM - 07/2024
RJTHI1427,SIM - 07/2024
RJJOA1296,SIM - 07/2024
MGMAR8705,SIM - 07/2024
SPFER8761,SIM - 07/2024
CEJOS0095,SIM - 07/2024
ROIED1478,SIM - 07/2024
RJMAR4997,SIM - 07/2024
MGFRA2550,SIM - 07/2024
PACAR2740,SIM - 07/2024
RJCAR5337,SIM - 07/2024
MGSAM7995,SIM - 07/2024
GOPAU0406,SIM - 07/2024
CEMAY8385,SIM - 07/2024
RJLUC8874,SIM - 07/2024
MGIAS0589,SIM - 07/2024
RJROS1452,SIM - 07/2024
RJJOA1355,SIM - 07/2024
CEMAR4188,SIM - 07/2024
PAGIE2116,SIM - 07/2024
MGHEL0462,SIM - 07/2024
MGTIA8413,SIM - 07/2024
RJJOA9896,SIM - 07/2024
RJCLE7405,SIM - 07/2024
DFKAR8729,SIM - 07/2024
PAPRI8202,SIM - 07/2024
CEHEI0952,SIM - 07/2024
ESMAR0390,SIM - 07/2024
RJPAU5901,SIM - 07/2024
MARAI9668,SIM - 07/2024
RJANA7846,SIM - 07/2024
TOLAR7949,SIM - 07/2024
PELUC3728,SIM - 07/2024
MGLUC9263,SIM - 07/2024
MGJAI5051,SIM - 07/2024
RJAMA5964,SIM - 07/2024
ROMAR9587,SIM - 07/2024
RJSIL6059,SIM - 07/2024
MGCRI5007,SIM - 07/2024
MGMAU4710,SIM - 07/2024
RJSOL0083,SIM - 07/2024
MGALE6697,SIM - 07/2024
RJLEO9202,SIM - 07/2024
RJING9771,SIM - 07/2024
MGKAR7763,SIM - 07/2024
MGHIP2846,SIM - 07/2024
RJALI5059,SIM - 07/2024
RJCHI6348,SIM - 07/2024
RJDIE0929,SIM - 07/2024
PAADR3404,SIM - 07/2024
MGCLE6088,SIM - 07/2024
MGVAL0234,SIM - 07/2024
MGELZ5750,SIM - 07/2024
RJALE1830,SIM - 07/2024
RJMAY1240,SIM - 07/2024
MGLAR9745,SIM - 07/2024
GOCLA6530,SIM - 07/2024
CEFRA1543,SIM - 07/2024
MGTHO5458,SIM - 07/2024
RJJUL1707,SIM - 07/2024
CEBRU9303,SIM - 07/2024
RJJOZ7922,SIM - 07/2024
MAMOI5663,SIM - 07/2024
RJDAN6222,SIM - 07/2024
ROFRA4600,SIM - 07/2024
MGLAE8722,SIM - 07/2024
RJELI2129,SIM - 07/2024
